image,NV
ISIC_0028493,0.0
ISIC_0027764,1.0
ISIC_0028080,0.0
ISIC_0028450,1.0
ISIC_0033481,1.0
ISIC_0027706,0.0
ISIC_0028268,1.0
ISIC_0032178,1.0
ISIC_0032034,1.0
ISIC_0026498,1.0
ISIC_0026094,0.0
ISIC_0029959,1.0
ISIC_0028937,0.0
ISIC_0033175,0.0
ISIC_0025715,1.0
ISIC_0032742,1.0
ISIC_0032958,0.0
ISIC_0028374,1.0
ISIC_0034053,1.0
ISIC_0033034,0.0
ISIC_0025768,1.0
ISIC_0031609,0.0
ISIC_0029193,0.0
ISIC_0025706,1.0
ISIC_0033877,1.0
ISIC_0030008,1.0
ISIC_0033296,1.0
ISIC_0031496,0.0
ISIC_0027039,1.0
ISIC_0029336,1.0
ISIC_0030015,0.0
ISIC_0027374,0.0
ISIC_0024782,0.0
ISIC_0033838,1.0
ISIC_0024441,1.0
ISIC_0026835,0.0
ISIC_0028422,1.0
ISIC_0027053,0.0
ISIC_0030463,0.0
ISIC_0027050,1.0
ISIC_0031823,0.0
ISIC_0028502,1.0
ISIC_0026507,1.0
ISIC_0026004,1.0
ISIC_0025077,1.0
ISIC_0029574,0.0
ISIC_0033583,0.0
ISIC_0024884,1.0
ISIC_0033945,0.0
ISIC_0031273,1.0
ISIC_0030907,1.0
ISIC_0033248,0.0
ISIC_0031289,0.0
ISIC_0033800,1.0
ISIC_0034125,0.0
ISIC_0026971,1.0
ISIC_0027781,0.0
ISIC_0029360,0.0
ISIC_0028950,1.0
ISIC_0025399,1.0
ISIC_0029634,0.0
ISIC_0033621,1.0
ISIC_0030493,1.0
ISIC_0031560,1.0
ISIC_0026255,1.0
ISIC_0032691,1.0
ISIC_0028773,0.0
ISIC_0028653,0.0
ISIC_0026733,1.0
ISIC_0024753,1.0
ISIC_0025076,0.0
ISIC_0025341,1.0
ISIC_0031916,1.0
ISIC_0030631,1.0
ISIC_0031497,1.0
ISIC_0028451,0.0
ISIC_0024715,1.0
ISIC_0028805,1.0
ISIC_0029997,1.0
ISIC_0034089,0.0
ISIC_0031665,1.0
ISIC_0030687,0.0
ISIC_0026796,0.0
ISIC_0029608,0.0
ISIC_0030109,1.0
ISIC_0030991,0.0
ISIC_0033533,0.0
ISIC_0026430,0.0
ISIC_0032537,0.0
ISIC_0026923,0.0
ISIC_0032156,0.0
ISIC_0026249,0.0
ISIC_0028758,1.0
ISIC_0027727,0.0
ISIC_0027388,0.0
ISIC_0034000,0.0
ISIC_0026369,0.0
ISIC_0032457,1.0
ISIC_0033569,0.0
ISIC_0027328,0.0
ISIC_0027094,0.0
ISIC_0028254,0.0
ISIC_0032662,0.0
ISIC_0029081,0.0
ISIC_0027440,1.0
ISIC_0032730,0.0
ISIC_0028049,1.0
ISIC_0028928,0.0
ISIC_0029736,1.0
ISIC_0031851,0.0
ISIC_0033697,1.0
ISIC_0030011,0.0
ISIC_0028445,0.0
ISIC_0029522,0.0
ISIC_0027470,0.0
ISIC_0029813,1.0
ISIC_0031252,1.0
ISIC_0030870,0.0
ISIC_0032522,0.0
ISIC_0026394,1.0
ISIC_0034008,1.0
